id,raw_text,clean_text,intent,sentiment,pii_flag,rationale,split,pii_types
TW-10001,@PlayStationHelp My PS5 turns off abruptly after 20 minutes of gameplay with error code CE-108255-1.,My PS5 turns off abruptly after 20 minutes of gameplay with error code CE-108255-1.,Technical,Negative,False,Hardware/software crash during usage. Frustration implicit in sudden shutdowns.,train,
TW-10002,@Netflixhelp The app keeps crashing on my Samsung Smart TV whenever I launch Stranger Things. Email on account: david.smith99@yahoo.com,The app keeps crashing on my Samsung Smart TV whenever I launch Stranger Things. Email on account: david.smith99@yahoo.com,Technical,Negative,True,App crash bug on specific device. Frustration with repeated failure. Email address triggers PII flag.,train,email
TW-10003,@SpotifyCares Local files won't sync to my mobile app after the 8.9.0 desktop update.,Local files won't sync to my mobile app after the 8.9.0 desktop update.,Technical,Neutral,False,Feature synchronization bug report post-update. Direct statement without emotional exaggeration.,train,
TW-10004,@AppleSupport Bluetooth disconnects randomly on my MacBook Pro M2 running macOS Sonoma.,Bluetooth disconnects randomly on my MacBook Pro M2 running macOS Sonoma.,Technical,Negative,False,Hardware connectivity bug impacting workflow. Negative sentiment due to unpredictable hardware behavior.,train,
TW-10005,"@DoorDash_Help The checkout button is greyed out on web browser, can't complete my dinner order!","The checkout button is greyed out on web browser, can't complete my dinner order!",Technical,Negative,False,UI/web app blocking glitch preventing transaction. High urgency indicated by exclamation mark.,train,
TW-10006,@MicrosoftHelps Excel formulas are throwing #VALUE! errors after opening macro-enabled sheets in Version 2402.,Excel formulas are throwing #VALUE! errors after opening macro-enabled sheets in Version 2402.,Technical,Neutral,False,Technical software calculation error report with specific build details.,train,
TW-10007,@Hulu_Support Stream buffering endlessly on FireStick with 300Mbps fiber internet connection.,Stream buffering endlessly on FireStick with 300Mbps fiber internet connection.,Technical,Negative,False,Video playback streaming error despite high connection speed.,train,
TW-10008,@Steam_Support Game client fails to launch Dota 2 with 'missing executable' error. Tried verifying integrity.,Game client fails to launch Dota 2 with 'missing executable' error. Tried verifying integrity.,Technical,Neutral,False,Software execution bug with step-by-step troubleshooting context provided.,train,
TW-10009,@ComcastCares Internet downstream signal lost in Seattle 98101 area code. Modem showing red US/DS light.,Internet downstream signal lost in Seattle 98101 area code. Modem showing red US/DS light.,Technical,Negative,False,Network outage and modem hardware failure. Area zip code is public location data (non-PII).,train,
TW-10010,@Uber_Support App location tracking is 2 miles off. Call me at 415-555-0188 so I can direct driver.,App location tracking is 2 miles off. Call me at 415-555-0188 so I can direct driver.,Technical,Negative,True,GPS location accuracy error in app. Explicit phone number triggers PII flag.,train,phone_number
TW-10011,@Google360 Gmail dark mode toggle disappeared after latest Android update.,Gmail dark mode toggle disappeared after latest Android update.,Technical,Neutral,False,UI regression report following OS update. Emotionally neutral observation.,val,
TW-10012,@Tesla Software update 2026.20 failed at 80% and touchscreen is unresponsive now!,Software update 2026.20 failed at 80% and touchscreen is unresponsive now!,Technical,Negative,False,Critical firmware update failure causing system freeze. Strong frustration.,val,
TW-10013,@NikeService App crashes instantly on opening screen. Reinstalled twice already.,App crashes instantly on opening screen. Reinstalled twice already.,Technical,Negative,False,Persistent app crash on launch preventing interaction.,val,
TW-10014,@AppleSupport AirDrop not discovering nearby devices despite Wi-Fi and Bluetooth being enabled.,AirDrop not discovering nearby devices despite Wi-Fi and Bluetooth being enabled.,Technical,Neutral,False,Feature connectivity failure report.,test,
TW-10015,@Lyft App keeps throwing network timeout errors while attempting to request ride.,App keeps throwing network timeout errors while attempting to request ride.,Technical,Negative,False,Network protocol failure blocking core app action.,test,
TW-10016,@AmazonHelp Double charged for order #702-1829301-4491823. $34.50 was taken twice from my card!,Double charged for order #702-1829301-4491823. $34.50 was taken twice from my card!,Billing,Negative,True,Duplicate charge issue. High negative tone due to monetary loss. Order ID triggers PII.,train,order_id
TW-10017,@SpotifyCares I requested a subscription refund on March 1st. Email registered is emma.watson@gmail.com,I requested a subscription refund on March 1st. Email registered is emma.watson@gmail.com,Billing,Neutral,True,Subscription refund status check. Direct factual inquiry. Email triggers PII.,train,email
TW-10018,@AirbnbHelp Host charged $200 cleaning fee for a 1-night stay that was already canceled! Account name: Robert Johnson.,Host charged $200 cleaning fee for a 1-night stay that was already canceled! Account name: Robert Johnson.,Billing,Negative,True,Unfair fee dispute post-cancellation. Strong anger. Full legal name triggers PII flag.,train,full_name
TW-10019,@PayPal Billing statement shows pending fee of $12.50 from unrecognized merchant.,Billing statement shows pending fee of $12.50 from unrecognized merchant.,Billing,Negative,False,Unauthorized charge investigation request.,train,
TW-10020,@Hulu_Support Can I update my Visa payment method to Mastercard for auto-renew?,Can I update my Visa payment method to Mastercard for auto-renew?,Billing,Neutral,False,Routine payment method modification query.,train,
TW-10021,@DoorDash_Help Missing refund of $18.20 for incomplete food order placed at 7 PM.,Missing refund of $18.20 for incomplete food order placed at 7 PM.,Billing,Negative,False,Unresolved monetary refund request following order discrepancy.,train,
TW-10022,@eBayAsk Buyer opened fraudulent return request on item #2938471029. Need seller protection help.,Buyer opened fraudulent return request on item #2938471029. Need seller protection help.,Billing,Negative,True,Disputed refund/return transaction. Item listing number counts as transaction ID (PII).,train,order_id
TW-10023,@Uber_Support How do I download my monthly tax receipts for corporate expenses in PDF format?,How do I download my monthly tax receipts for corporate expenses in PDF format?,Billing,Neutral,False,Invoice/tax document retrieval query under billing parameters.,train,
TW-10024,@Delta Charge of $150 baggage fee applied twice at check-in counter. Ticket #006-293847102.,Charge of $150 baggage fee applied twice at check-in counter. Ticket #006-293847102.,Billing,Negative,True,Duplicate baggage fee charge. Airline ticket number acts as order ID (PII).,train,order_id
TW-10025,@Target Applied $10 promo coupon at checkout but discount didn't show on final receipt.,Applied $10 promo coupon at checkout but discount didn't show on final receipt.,Billing,Negative,False,Promotional discount application error affecting total charge.,train,
TW-10026,@Netflixhelp Where can I view my billing history for the past 12 months?,Where can I view my billing history for the past 12 months?,Billing,Neutral,False,Account billing record search.,val,
TW-10027,@AppleSupport Subscription renewed automatically after I canceled last night! Want my $9.99 back.,Subscription renewed automatically after I canceled last night! Want my $9.99 back.,Billing,Negative,False,Accidental auto-renewal charge dispute demanding refund.,val,
TW-10028,@Lyft Cancellation fee charged when driver was stationary for 15 minutes!,Cancellation fee charged when driver was stationary for 15 minutes!,Billing,Negative,False,Disputed cancellation charge.,val,
TW-10029,@PlayStationHelp My wallet auto-funded $50 without authorization. Please assist.,My wallet auto-funded $50 without authorization. Please assist.,Billing,Negative,False,Unauthorized automatic wallet funding transaction.,test,
TW-10030,@ComcastCares Monthly bill went up from $60 to $85 without prior notification.,Monthly bill went up from $60 to $85 without prior notification.,Billing,Negative,False,Rate hike complaint on monthly service charge.,test,
